Day,TeamsSearch,SkypeSearch,MeetSearch,ZoomSearch,CovidSearch,CovidNewCases,PriceGOOGL,PriceMSFT,PriceZM
2020-03-20,176.92774302724973,411.35700253835563,104.67689808401265,174.20246697746697,10.665457161885733,30775,1068.209961,137.350006,130.550003
2020-03-21,79.61748436226239,345.009098903137,47.91525546632508,145.761247879105,10.665457161885733,31991,NA,NA,NA
2020-03-22,97.31025866498736,340.58590532745575,40.052691866299,163.53700981558126,10.665457161885733,34855,NA,NA,NA
2020-03-23,234.4292595111059,442.31935756812436,130.2322359867637,259.52612427255286,14.220609549180978,42835,1054.130005,135.979996,159.559998
2020-03-24,230.00606593542466,433.4729704167619,125.80904241108246,280.8570385963243,14.220609549180978,41179,1130.01001,148.339996,135.179993
2020-03-25,216.73648520838094,402.51061538699315,121.38584883540122,266.63642904714334,14.220609549180978,51001,1101.619995,146.919998,138.110001
2020-03-26,207.89009805701843,375.9714539329057,121.38584883540122,280.8570385963243,14.220609549180978,62877,1162.920044,156.110001,141.149994
2020-03-27,172.5045494515685,340.58590532745575,111.31168844753451,273.7467338217338,14.220609549180978,65041,1110.26001,149.699997,151.699997
2020-03-28,75.19429078658113,283.0843888435996,50.126852254165705,223.9746003996004,14.220609549180978,67280,NA,NA,NA
2020-03-29,84.04067793794363,256.54522738951215,50.126852254165705,216.8642956250099,10.665457161885733,59237,NA,NA,NA
2020-03-30,216.73648520838094,327.31632460041203,142.51799316247102,312.8534100819815,14.220609549180978,65294,1146.310059,160.229996,150.880005
2020-03-31,212.3132916326997,314.0467438733683,144.72958995031166,327.0740196311625,14.220609549180978,76845,1161.949951,157.710007,146.119995
2020-04-01,199.04371090565596,309.623550297687,144.72958995031166,344.84978156763873,14.220609549180978,82808,1102.099976,152.110001,137
2020-04-02,199.04371090565596,300.77716314632454,144.72958995031166,337.7394767930482,14.220609549180978,83060,1117.030029,155.259995,121.93
2020-04-03,159.23496872452478,291.93077599496206,140.3063963746304,355.5152387295244,14.220609549180978,83559,1092.699951,153.830002,128.199997
2020-04-04,66.34790363521866,234.4292595111059,54.550045829846944,255.9709718852576,10.665457161885733,58363,NA,NA,NA
2020-04-05,75.19429078658113,212.3132916326997,50.126852254165705,241.75036233607662,10.665457161885733,72592,NA,NA,NA
2020-04-06,190.19732375429348,269.81480811655587,142.51799316247102,330.6291720184577,10.665457161885733,73155,1183.189941,165.270004,122.940002
2020-04-07,168.08135587588725,269.81480811655587,152.5921535503377,309.29825769468624,10.665457161885733,69831,1182.560059,163.490005,113.75
2020-04-08,172.5045494515685,252.12203381383088,152.5921535503377,302.18795292009577,10.665457161885733,83378,1207,165.130005,117.809998
2020-04-09,145.96538799748103,238.85245308678714,123.59744562324184,287.9673433709148,10.665457161885733,87014,1206.569946,165.139999,124.510002
2020-04-10,92.88706508930612,216.73648520838094,81.33315696910222,245.30551472337186,10.665457161885733,85534,NA,NA,NA
2020-04-11,53.078322908174925,181.35093660293097,42.26428865413962,213.30914323771466,10.665457161885733,74283,NA,NA,NA
2020-04-12,57.501516483856165,194.62051732997472,52.338449042006324,220.41944801230517,10.665457161885733,119696,NA,NA,NA
2020-04-13,128.27261369475607,207.89009805701843,123.59744562324184,245.30551472337186,10.665457161885733,70742,1210.410034,165.509995,135.919998
2020-04-14,185.77413017861224,230.00606593542466,163.6501374895408,277.3018862090291,14.220609549180978,84011,1265.22998,173.699997,141.889999
2020-04-15,190.19732375429348,225.58287235974342,180.3590882409294,284.41219098361955,14.220609549180978,77114,1257.300049,171.880005,151.559998
2020-04-16,181.35093660293097,225.58287235974342,171.51270108956692,291.52249575821,14.220609549180978,95531,1257.430054,177.039993,150.259995
2020-04-17,159.23496872452478,216.73648520838094,161.4385407017002,273.7467338217338,14.220609549180978,87997,1279,178.600006,150.059998
2020-04-18,70.7710972108999,172.5045494515685,66.83580300555427,216.8642956250099,10.665457161885733,77240,NA,NA,NA
2020-04-19,88.46387151362487,154.8117751488435,61.18483619336881,195.53338130123845,10.665457161885733,76605,NA,NA,NA
2020-04-20,203.4669044813372,221.15967878406218,199.2796357801586,280.8570385963243,14.220609549180978,76018,1261.150024,175.059998,148.990005
2020-04-21,194.62051732997472,207.89009805701843,197.06803899231798,277.3018862090291,14.220609549180978,75749,1212.160034,167.820007,143.270004
2020-04-22,203.4669044813372,216.73648520838094,197.06803899231798,287.9673433709148,14.220609549180978,81247,1258.410034,173.520004,150.25
2020-04-23,185.77413017861224,207.89009805701843,190.43324862879612,266.63642904714334,14.220609549180978,84249,1271.170044,171.419998,169.089996
2020-04-24,168.08135587588725,194.62051732997472,163.6501374895408,248.86066711066712,17.775761936476222,84096,1276.599976,174.550003,158.800003
2020-04-25,70.7710972108999,145.96538799748103,56.76164261768757,191.9782289139432,14.220609549180978,82259,NA,NA,NA
2020-04-26,66.34790363521866,137.11900084611855,56.76164261768757,174.20246697746697,10.665457161885733,71588,NA,NA,NA
2020-04-27,185.77413017861224,185.77413017861224,178.14749145308878,241.75036233607662,14.220609549180978,70192,1270.859985,174.050003,164.600006
